scenario,seed_offset,candidate,label,exhausted_hours,external_completed,quota_left_week_end_pct,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours,max_interval_delta_vs_current_seconds
nominal,4,kd-900,Kd 900,0,1485,14.4,0,0,0,0,0
nominal,4,kd-3600,Kd 3600,0,1485,14.4,0,0,0,0,0
nominal,4,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1485,14.4,0,0,0,0,0
nominal,5,current,current (120 / 1h / 1800),0,1529,14.05,0,0,0,0,0
nominal,5,kp-80,Kp 80,0,1529,14.05,0,0,0,0,0
nominal,5,kp-160,Kp 160,0,1529,14.05,0,0,0,0,0
nominal,5,ti-2h,Ti 2h,0,1529,14.05,0,0,0,0,0
nominal,5,ti-half-hour,Ti 0.5h,0,1529,14.05,0,0,0,0,0
nominal,5,kd-900,Kd 900,0,1529,14.05,0,0,0,0,0
nominal,5,kd-3600,Kd 3600,0,1529,14.05,0,0,0,0,0
nominal,5,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1529,14.05,0,0,0,0,0
nominal,6,current,current (120 / 1h / 1800),0,1456,16.4,0,0,0,0,0
nominal,6,kp-80,Kp 80,0,1456,16.4,0,0,0,0,4.579428
nominal,6,kp-160,Kp 160,0,1456,16.4,0,0,0,0,4.579428
nominal,6,ti-2h,Ti 2h,0,1456,16.4,0,0,0,0,2.456491
nominal,6,ti-half-hour,Ti 0.5h,0,1456,16.4,0,0,0,0,4.962705
nominal,6,kd-900,Kd 900,0,1456,16.4,0,0,0,0,0.062255
nominal,6,kd-3600,Kd 3600,0,1456,16.4,0,0,0,0,0.12451
nominal,6,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1456,16.4,0,0,0,0,2.39926
nominal,7,current,current (120 / 1h / 1800),0,1549,12.55,0,0,0,0,0
nominal,7,kp-80,Kp 80,0,1549,12.55,0,0,0,0,14.174305
nominal,7,kp-160,Kp 160,0,1549,12.55,0,0,0,0,14.174305
nominal,7,ti-2h,Ti 2h,0,1549,12.55,0,0,0,0,14.930083
nominal,7,ti-half-hour,Ti 0.5h,0,1549,12.55,0,0,0,0,29.860167
nominal,7,kd-900,Kd 900,0,1549,12.55,0,0,0,0,0.060769
nominal,7,kd-3600,Kd 3600,0,1549,12.55,0,0,0,0,0.121538
nominal,7,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1549,12.55,0,0,0,0,14.99464
overload,0,current,current (120 / 1h / 1800),0,1083,1.2,0,0,0,0,0
overload,0,kp-80,Kp 80,0,1081,0.45,2.083333,1.416667,0.75,0.083333,986.521831
overload,0,kp-160,Kp 160,0,1081,1.1,14.333333,0,0,0,939.502573
overload,0,ti-2h,Ti 2h,0,1089,0.35,1.75,0.5,0,0,1231.294485
overload,0,ti-half-hour,Ti 0.5h,0,1095,0.05,16.083333,15.916667,15.75,15.5,2172.711957
overload,0,kd-900,Kd 900,0,1083,1.2,0,0,0,0,44.603272
overload,0,kd-3600,Kd 3600,0,1082,1.25,0,0,0,0,77.273644
overload,0,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1088,0.4,1.75,0.5,0,0,1231.74736
overload,1,current,current (120 / 1h / 1800),0,1145,1.1,17.25,16.75,0,0,0
overload,1,kp-80,Kp 80,0,1141,0.5,0,0,0,0,904.949831
overload,1,kp-160,Kp 160,0,1141,1.15,15.166667,14.666667,0,0,631.551205
overload,1,ti-2h,Ti 2h,0,1150,0.45,0,0,0,0,774.013782
overload,1,ti-half-hour,Ti 0.5h,0,1127,1.35,14.833333,14.583333,14.333333,14.083333,1158.943645
overload,1,kd-900,Kd 900,0,1145,1.1,17.25,16.75,0,0,98.979977
overload,1,kd-3600,Kd 3600,0,1145,1.15,17.25,16.75,0,0,125.514179
overload,1,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1150,0.45,0,0,0,0,779.167175
overload,2,current,current (120 / 1h / 1800),0,1118,1.25,16,15.5,15,0,0
overload,2,kp-80,Kp 80,0,1115,0.65,19.333333,0,0,0,1044.995386
overload,2,kp-160,Kp 160,0,1116,1.25,13.666667,13.166667,12.75,0,694.505454
overload,2,ti-2h,Ti 2h,0,1125,0.5,0,0,0,0,643.284517
overload,2,ti-half-hour,Ti 0.5h,0,1107,1.45,11.916667,11.5,11,10.583333,1166.803943
overload,2,kd-900,Kd 900,0,1118,1.25,16,15.5,15,0,89.402658
overload,2,kd-3600,Kd 3600,0,1118,1.25,16,15.5,15,0,92.45894
overload,2,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1126,0.45,0,0,0,0,647.288486
overload,3,current,current (120 / 1h / 1800),0,1059,0.95,16,0,0,0,0
overload,3,kp-80,Kp 80,0,1069,0.2,0,0,0,0,1100.887322
overload,3,kp-160,Kp 160,0,1060,1.15,13.75,13.333333,12.833333,0,914.174957
overload,3,ti-2h,Ti 2h,0,1080,0.2,0,0,0,0,1025.81038
overload,3,ti-half-hour,Ti 0.5h,0,1056,1.1,15,14.75,14.5,14.333333,1518.947699
overload,3,kd-900,Kd 900,0,1057,1,16,0,0,0,100.258197
overload,3,kd-3600,Kd 3600,0,1059,0.95,16,0,0,0,168.736746
overload,3,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1080,0.2,0,0,0,0,1025.989299
overload,4,current,current (120 / 1h / 1800),0,1161,0.05,14.583333,14,13.416667,0,0
overload,4,kp-80,Kp 80,2.087969,1160,0,18.083333,0,0,0,1181.706452
overload,4,kp-160,Kp 160,0,1154,0.5,12.416667,11.833333,0,0,523.703248
overload,4,ti-2h,Ti 2h,0.661064,1170,0,0,0,0,0,1660.093669
overload,4,ti-half-hour,Ti 0.5h,0,1158,0.2,11.083333,10.166667,0,0,2779.103398
overload,4,kd-900,Kd 900,0,1161,0.05,14.583333,14,13.416667,0,17.399428
overload,4,kd-3600,Kd 3600,0,1161,0.05,14.583333,14,13.416667,0,4.899597
overload,4,weaker-i-stronger-d,Ti 2h + Kd 3600,0.660359,1170,0,0,0,0,0,1657.562012
overload,5,current,current (120 / 1h / 1800),0,1092,1.2,14.916667,14.333333,0,0,0
overload,5,kp-80,Kp 80,0,1092,0.5,0,0,0,0,1030.458199
overload,5,kp-160,Kp 160,0,1100,1.5,11.583333,10.833333,10.083333,0,982.029476
overload,5,ti-2h,Ti 2h,0,1102,0.4,0,0,0,0,808.229207
overload,5,ti-half-hour,Ti 0.5h,0,1094,1.2,9.916667,9.333333,8.75,8,1115.175145
overload,5,kd-900,Kd 900,0,1092,1.2,14.916667,14.333333,0,0,89.916122
overload,5,kd-3600,Kd 3600,0,1092,1.2,14.916667,14.333333,0,0,2.247835
overload,5,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1102,0.4,0,0,0,0,808.413469
overload,6,current,current (120 / 1h / 1800),0,1096,1.65,17.916667,17.5,17.083333,0,0
overload,6,kp-80,Kp 80,0,1086,0.9,0,0,0,0,1051.982443
overload,6,kp-160,Kp 160,0,1099,1.5,16.166667,15.833333,15.5,0,816.040276
overload,6,ti-2h,Ti 2h,0,1097,0.8,0,0,0,0,1173.95935
overload,6,ti-half-hour,Ti 0.5h,0.435692,1120,0,16,15.75,15.583333,15.333333,1152.306405
overload,6,kd-900,Kd 900,0,1096,1.65,17.916667,17.5,17.083333,0,11.837175
overload,6,kd-3600,Kd 3600,0,1094,1.65,17.916667,17.5,17.083333,0,101.905794
overload,6,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1097,0.8,0,0,0,0,1174.57844
overload,7,current,current (120 / 1h / 1800),0,1143,1.15,14.916667,14.25,0,0,0
overload,7,kp-80,Kp 80,0,1157,0.3,0,0,0,0,956.625355
overload,7,kp-160,Kp 160,0,1150,1.1,13,12.416667,11.833333,0,802.288407
overload,7,ti-2h,Ti 2h,0,1165,0.3,0,0,0,0,764.5461
overload,7,ti-half-hour,Ti 0.5h,0,1147,1.1,12.75,12.416667,12.083333,11.75,1633.928354
overload,7,kd-900,Kd 900,0,1143,1.15,14.916667,14.25,0,0,11.237648
overload,7,kd-3600,Kd 3600,0,1144,1.1,14.75,14.083333,0,0,93.288367
overload,7,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1163,0.35,0,0,0,0,764.748482
burst-recovery,0,current,current (120 / 1h / 1800),0,1496,6.9,7,6.666667,6.333333,6.083333,0
burst-recovery,0,kp-80,Kp 80,0,1496,6.9,10.583333,10.166667,9.833333,9.416667,1399.840157
burst-recovery,0,kp-160,Kp 160,0,1496,6.9,5,4.666667,4.416667,4.083333,933.666149
burst-recovery,0,ti-2h,Ti 2h,0,1496,6.9,11.5,11,10.583333,10.083333,1433.831755
burst-recovery,0,ti-half-hour,Ti 0.5h,0,1496,6.9,2.166667,1.916667,1.666667,1.333333,1957.47999
burst-recovery,0,kd-900,Kd 900,0,1496,6.9,7,6.666667,6.333333,6.083333,27.463526
burst-recovery,0,kd-3600,Kd 3600,0,1496,6.9,7,6.666667,6.333333,6,27.791844
burst-recovery,0,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1496,6.9,11.5,11,10.583333,10.083333,1433.591958
burst-recovery,1,current,current (120 / 1h / 1800),0,1562,5.8,3.416667,3.083333,2.75,2.416667,0
