scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,kp-80,3.018889,-2.05,35618.285681,1608079.028,-0.000166,300,false,35465,1069212.7
historical,sanitized-historical,kp-80,3.185833,-2.149,35600.850582,1607434.328,-0.000165,300,false,35439,1068568.1
historical,sanitized-historical,kp-80,3.352222,-2.248,35582.047595,1606759.928,-0.000165,300,false,35411,1067893.7
historical,sanitized-historical,kp-80,3.52,-2.347,35562.053845,1606055.828,-0.000165,300,false,35381,1067189.5
historical,sanitized-historical,kp-80,3.635556,-2.417,35541.62992,1605330.728,-0.000166,300,false,35350,1066464.5
historical,sanitized-historical,kp-80,3.696389,-2.446,35522.757627,1604795.054,-0.000162,219,false,35322,1065927.9
historical,sanitized-historical,kp-80,3.768889,-2.496,35503.982521,1604143.598,-0.000166,261,false,35294,1065275.4
historical,sanitized-historical,kp-80,3.864167,-2.546,35484.659296,1603379.798,-0.000163,300,false,35265,1064511.7
historical,sanitized-historical,kp-80,3.928333,-2.585,35466.069138,1602782.663,-0.000163,231,false,35237,1063913.9
historical,sanitized-historical,kp-80,4.023056,-2.645,35446.517275,1601989.163,-0.000165,300,false,35208,1063120.5
historical,sanitized-historical,kp-80,4.167778,-2.734,35425.516151,1601168.963,-0.000167,300,false,35176,1062300.2
historical,sanitized-historical,kp-80,4.258056,-2.784,35404.12618,1600333.763,-0.000165,300,false,35144,1061465.1
historical,sanitized-historical,kp-80,4.347778,-2.833,35382.382916,1599483.863,-0.000163,300,false,35111,1060615.1
historical,sanitized-historical,kp-80,4.436111,-2.893,35360.052041,1598615.963,-0.000167,300,false,35078,1059747.3
historical,sanitized-historical,kp-80,4.497222,-2.923,35339.132808,1597972.903,-0.000163,220,false,35047,1059103.7
historical,sanitized-historical,kp-80,4.625,-3.002,35316.859273,1597072.303,-0.000165,300,false,35013,1058203.1
historical,sanitized-historical,kp-80,4.663333,-3.022,35297.437896,1596655.267,-0.000164,138,false,34984,1057784.7
historical,sanitized-historical,kp-80,4.741389,-3.062,35277.29303,1595794.845,-0.000161,281,false,34954,1056923.7
historical,sanitized-historical,kp-80,4.830278,-3.121,35255.801105,1594858.545,-0.000164,300,false,34922,1055987.4
historical,sanitized-historical,kp-80,4.936389,-3.19,35232.984205,1593901.545,-0.000167,300,false,34887,1055030.3
historical,sanitized-historical,kp-80,4.990278,-3.22,35211.801632,1593276.865,-0.000166,194,false,34856,1054407.4
historical,sanitized-historical,kp-80,5.093611,-3.28,35189.248392,1592292.865,-0.000165,300,false,34822,1053423.5
historical,sanitized-historical,kp-80,5.165,-3.319,35166.815419,1591439.882,-0.000163,257,false,34788,1052569.7
